,date,time,VI,VItext,wnd,mxgHt
2010-01-01 07:00:00,01-JANUARY-2010,07:00,18.0,POOR,6.0,1048.0
2010-01-01 16:00:00,01-JANUARY-2010,16:00,13.0,POOR,6.0,909.0
2010-01-02 07:00:00,02-JANUARY-2010,07:00,13.0,POOR,5.0,943.0
2010-01-02 16:00:00,02-JANUARY-2010,16:00,13.0,POOR,3.0,1040.0
2010-01-03 07:00:00,03-JANUARY-2010,07:00,14.0,POOR,5.0,964.0
2010-01-03 16:00:00,03-JANUARY-2010,16:00,12.0,POOR,2.0,1011.0
2010-01-04 07:00:00,04-JANUARY-2010,07:00,14.0,POOR,5.0,985.0
2010-01-04 16:00:00,04-JANUARY-2010,16:00,16.0,POOR,3.0,1184.0
2010-01-05 07:00:00,05-JANUARY-2010,07:00,20.0,POOR,4.0,1320.0
2010-01-05 16:00:00,05-JANUARY-2010,16:00,52.0,FAIR,15.0,1437.0
2010-01-06 07:00:00,06-JANUARY-2010,07:00,10.0,POOR,2.0,912.0
2010-01-06 16:00:00,06-JANUARY-2010,16:00,22.0,POOR,10.0,1041.0
2010-01-07 07:00:00,07-JANUARY-2010,07:00,11.0,POOR,3.0,878.0
2010-01-07 16:00:00,07-JANUARY-2010,16:00,12.0,POOR,4.0,930.0
2010-01-08 07:00:00,08-JANUARY-2010,07:00,12.0,POOR,4.0,916.0
2010-01-08 16:00:00,08-JANUARY-2010,16:00,12.0,POOR,5.0,909.0
2010-01-09 07:00:00,09-JANUARY-2010,07:00,14.0,POOR,5.0,967.0
2010-01-09 16:00:00,09-JANUARY-2010,16:00,11.0,POOR,4.0,894.0
2010-01-10 07:00:00,10-JANUARY-2010,07:00,15.0,POOR,6.0,971.0
2010-01-10 16:00:00,10-JANUARY-2010,16:00,15.0,POOR,6.0,979.0
2010-01-11 07:00:00,11-JANUARY-2010,07:00,17.0,POOR,7.0,993.0
2010-01-11 16:00:00,11-JANUARY-2010,16:00,13.0,POOR,7.0,900.0
2010-01-12 07:00:00,12-JANUARY-2010,07:00,17.0,POOR,9.0,953.0
2010-01-12 16:00:00,12-JANUARY-2010,16:00,12.0,POOR,3.0,994.0
2010-01-13 07:00:00,13-JANUARY-2010,07:00,12.0,POOR,4.0,933.0
2010-01-13 16:00:00,13-JANUARY-2010,16:00,16.0,POOR,5.0,1042.0
2010-01-14 07:00:00,14-JANUARY-2010,07:00,12.0,POOR,3.0,977.0
2010-01-14 16:00:00,14-JANUARY-2010,16:00,17.0,POOR,4.0,1144.0
2010-01-15 07:00:00,15-JANUARY-2010,07:00,17.0,POOR,7.0,984.0
2010-01-15 16:00:00,15-JANUARY-2010,16:00,14.0,POOR,13.0,857.0
2010-01-16 07:00:00,16-JANUARY-2010,07:00,12.0,POOR,6.0,875.0
2010-01-16 16:00:00,16-JANUARY-2010,16:00,15.0,POOR,2.0,1355.0
2010-01-17 07:00:00,17-JANUARY-2010,07:00,20.0,POOR,7.0,1084.0
2010-01-17 16:00:00,17-JANUARY-2010,16:00,19.0,POOR,6.0,1103.0
2010-01-18 07:00:00,18-JANUARY-2010,07:00,18.0,POOR,9.0,980.0
2010-01-18 16:00:00,18-JANUARY-2010,16:00,35.0,FAIR,15.0,1135.0
2010-01-19 07:00:00,19-JANUARY-2010,07:00,15.0,POOR,6.0,972.0
2010-01-19 16:00:00,19-JANUARY-2010,16:00,21.0,POOR,10.0,1012.0
2010-01-20 07:00:00,20-JANUARY-2010,07:00,15.0,POOR,6.0,954.0
2010-01-20 16:00:00,20-JANUARY-2010,16:00,20.0,POOR,5.0,1181.0
2010-01-21 07:00:00,21-JANUARY-2010,07:00,13.0,POOR,5.0,944.0
2010-01-21 16:00:00,21-JANUARY-2010,16:00,13.0,POOR,3.0,1053.0
2010-01-22 07:00:00,22-JANUARY-2010,07:00,13.0,POOR,4.0,983.0
2010-01-22 16:00:00,22-JANUARY-2010,16:00,25.0,POOR,10.0,1086.0
2010-01-23 07:00:00,23-JANUARY-2010,07:00,10.0,POOR,1.0,964.0
2010-01-23 16:00:00,23-JANUARY-2010,16:00,18.0,POOR,8.0,995.0
2010-01-24 07:00:00,24-JANUARY-2010,07:00,10.0,POOR,1.0,936.0
2010-01-24 16:00:00,24-JANUARY-2010,16:00,21.0,POOR,7.0,1121.0
2010-01-25 07:00:00,25-JANUARY-2010,07:00,25.0,POOR,9.0,1119.0
2010-01-25 16:00:00,25-JANUARY-2010,16:00,40.0,FAIR,17.0,1163.0
2010-01-26 07:00:00,26-JANUARY-2010,07:00,16.0,POOR,5.0,1032.0
2010-01-26 16:00:00,26-JANUARY-2010,16:00,38.0,FAIR,15.0,1180.0
2010-01-27 07:00:00,27-JANUARY-2010,07:00,9.0,POOR,0.0,977.0
2010-01-27 16:00:00,27-JANUARY-2010,16:00,16.0,POOR,4.0,1105.0
2010-01-28 07:00:00,28-JANUARY-2010,07:00,14.0,POOR,4.0,1012.0
2010-01-28 16:00:00,28-JANUARY-2010,16:00,12.0,POOR,3.0,993.0
2010-01-29 07:00:00,29-JANUARY-2010,07:00,15.0,POOR,5.0,1002.0
2010-01-29 16:00:00,29-JANUARY-2010,16:00,24.0,POOR,10.0,1072.0
2010-01-30 07:00:00,30-JANUARY-2010,07:00,12.0,POOR,4.0,933.0
2010-01-30 16:00:00,30-JANUARY-2010,16:00,16.0,POOR,5.0,1033.0
2010-01-31 07:00:00,31-JANUARY-2010,07:00,14.0,POOR,4.0,1027.0
2010-01-31 16:00:00,31-JANUARY-2010,16:00,12.0,POOR,2.0,1035.0
2010-02-01 07:00:00,01-FEBRUARY-2010,07:00,13.0,POOR,3.0,1053.0
2010-02-01 16:00:00,01-FEBRUARY-2010,16:00,17.0,POOR,3.0,1306.0
2010-02-02 07:00:00,02-FEBRUARY-2010,07:00,12.0,POOR,3.0,990.0
2010-02-02 16:00:00,02-FEBRUARY-2010,16:00,26.0,POOR,8.0,1185.0
2010-02-03 07:00:00,03-FEBRUARY-2010,07:00,13.0,POOR,3.0,1020.0
2010-02-03 16:00:00,03-FEBRUARY-2010,16:00,25.0,POOR,5.0,1417.0
2010-02-04 07:00:00,04-FEBRUARY-2010,07:00,15.0,POOR,4.0,1060.0
2010-02-04 16:00:00,04-FEBRUARY-2010,16:00,18.0,POOR,3.0,1317.0
2010-02-05 07:00:00,05-FEBRUARY-2010,07:00,18.0,POOR,7.0,1018.0
2010-02-05 16:00:00,05-FEBRUARY-2010,16:00,14.0,POOR,4.0,1017.0
2010-02-06 07:00:00,06-FEBRUARY-2010,07:00,13.0,POOR,4.0,958.0
2010-02-06 16:00:00,06-FEBRUARY-2010,16:00,11.0,POOR,2.0,1008.0
2010-02-07 07:00:00,07-FEBRUARY-2010,07:00,10.0,POOR,1.0,981.0
2010-02-07 16:00:00,07-FEBRUARY-2010,16:00,11.0,POOR,2.0,1000.0
2010-02-08 07:00:00,08-FEBRUARY-2010,07:00,11.0,POOR,2.0,976.0
2010-02-08 16:00:00,08-FEBRUARY-2010,16:00,21.0,POOR,4.0,1361.0
2010-02-09 07:00:00,09-FEBRUARY-2010,07:00,13.0,POOR,4.0,989.0
2010-02-09 16:00:00,09-FEBRUARY-2010,16:00,35.0,FAIR,8.0,1450.0
2010-02-10 07:00:00,10-FEBRUARY-2010,07:00,13.0,POOR,3.0,1058.0
2010-02-10 16:00:00,10-FEBRUARY-2010,16:00,15.0,POOR,3.0,1181.0
2010-02-11 07:00:00,11-FEBRUARY-2010,07:00,15.0,POOR,4.0,1047.0
2010-02-11 16:00:00,11-FEBRUARY-2010,16:00,18.0,POOR,4.0,1198.0
2010-02-12 07:00:00,12-FEBRUARY-2010,07:00,16.0,POOR,5.0,1042.0
2010-02-12 16:00:00,12-FEBRUARY-2010,16:00,13.0,POOR,2.0,1129.0
2010-02-13 07:00:00,13-FEBRUARY-2010,07:00,11.0,POOR,2.0,995.0
2010-02-13 16:00:00,13-FEBRUARY-2010,16:00,35.0,FAIR,6.0,1651.0
