DATE_PST,DATE,TIME,STATION_NAME,EMS_ID,PM25_RAW,PM25,PM25_INSTRUMENT,PM25_2_RAW,PM25_2,PM25_2_INSTRUMENT,PM10_RAW,PM10,PM10_INSTRUMENT
2016-01-01 01:00:00,2016-01-01,01:00,Golden Helipad,E292149,2.682112,2.7,PM25_SHARP5030i,0,0,PM25_R&P_TEOM,9.544308,9.5,PM10_R&P_TEOM
2016-01-01 02:00:00,2016-01-01,02:00,Golden Helipad,E292149,2.211724,2.2,PM25_SHARP5030i,0.358108,0.4,PM25_R&P_TEOM,10.35429,10.4,PM10_R&P_TEOM
2016-01-01 03:00:00,2016-01-01,03:00,Golden Helipad,E292149,2.146919,2.1,PM25_SHARP5030i,0.128336,0.1,PM25_R&P_TEOM,8.579667,8.6,PM10_R&P_TEOM
2016-01-01 04:00:00,2016-01-01,04:00,Golden Helipad,E292149,1.734323,1.7,PM25_SHARP5030i,0,0,PM25_R&P_TEOM,8.392276,8.4,PM10_R&P_TEOM
2016-01-01 05:00:00,2016-01-01,05:00,Golden Helipad,E292149,1.957298,2,PM25_SHARP5030i,0,0,PM25_R&P_TEOM,7.968422,8,PM10_R&P_TEOM
2016-01-01 06:00:00,2016-01-01,06:00,Golden Helipad,E292149,2.004054,2,PM25_SHARP5030i,0,0,PM25_R&P_TEOM,9.812005,9.8,PM10_R&P_TEOM
2016-01-01 07:00:00,2016-01-01,07:00,Golden Helipad,E292149,1.778903,1.8,PM25_SHARP5030i,0.696061,0.7,PM25_R&P_TEOM,9.532339,9.5,PM10_R&P_TEOM
2016-01-01 08:00:00,2016-01-01,08:00,Golden Helipad,E292149,1.698945,1.7,PM25_SHARP5030i,0,0,PM25_R&P_TEOM,8.56532,8.6,PM10_R&P_TEOM
2016-01-01 09:00:00,2016-01-01,09:00,Golden Helipad,E292149,2.18999,2.2,PM25_SHARP5030i,1.404098,1.4,PM25_R&P_TEOM,10.51357,10.5,PM10_R&P_TEOM
2016-01-01 10:00:00,2016-01-01,10:00,Golden Helipad,E292149,2.600518,2.6,PM25_SHARP5030i,0.940319,0.9,PM25_R&P_TEOM,11.18606,11.2,PM10_R&P_TEOM
2016-01-01 11:00:00,2016-01-01,11:00,Golden Helipad,E292149,3.198498,3.2,PM25_SHARP5030i,1.753075,1.8,PM25_R&P_TEOM,13.27264,13.3,PM10_R&P_TEOM
