DATE_PST,DATE,TIME,STATION_NAME,EMS_ID,PM25_RAW,PM25,PM25_INSTRUMENT,PM10_RAW,PM10,PM10_INSTRUMENT
2017-01-01 01:00:00,2017-01-01,01:00,Golden Helipad,E292149,4.93651,4.9,PM25_SHARP5030i,8.385693,8.4,PM10_R&P_TEOM
2017-01-01 02:00:00,2017-01-01,02:00,Golden Helipad,E292149,4.700417,4.7,PM25_SHARP5030i,7.394999,7.4,PM10_R&P_TEOM
2017-01-01 03:00:00,2017-01-01,03:00,Golden Helipad,E292149,4.368243,4.4,PM25_SHARP5030i,6.411943,6.4,PM10_R&P_TEOM
2017-01-01 04:00:00,2017-01-01,04:00,Golden Helipad,E292149,2.785598,2.8,PM25_SHARP5030i,6.709166,6.7,PM10_R&P_TEOM
2017-01-01 05:00:00,2017-01-01,05:00,Golden Helipad,E292149,7.512968,7.5,PM25_SHARP5030i,8.451944,8.5,PM10_R&P_TEOM
2017-01-01 06:00:00,2017-01-01,06:00,Golden Helipad,E292149,6.023437,6,PM25_SHARP5030i,7.280554,7.3,PM10_R&P_TEOM
2017-01-01 07:00:00,2017-01-01,07:00,Golden Helipad,E292149,7.347502,7.3,PM25_SHARP5030i,9.039443,9,PM10_R&P_TEOM
2017-01-01 08:00:00,2017-01-01,08:00,Golden Helipad,E292149,10.85802,10.9,PM25_SHARP5030i,13.14847,13.1,PM10_R&P_TEOM
2017-01-01 09:00:00,2017-01-01,09:00,Golden Helipad,E292149,18.72248,18.7,PM25_SHARP5030i,18.97625,19,PM10_R&P_TEOM
2017-01-01 10:00:00,2017-01-01,10:00,Golden Helipad,E292149,11.1996,11.2,PM25_SHARP5030i,14.43903,14.4,PM10_R&P_TEOM
2017-01-01 11:00:00,2017-01-01,11:00,Golden Helipad,E292149,13.55826,13.6,PM25_SHARP5030i,15.46736,15.5,PM10_R&P_TEOM
2017-01-01 12:00:00,2017-01-01,12:00,Golden Helipad,E292149,1.551308,1.6,PM25_SHARP5030i,0,0,PM10_R&P_TEOM
2017-01-01 13:00:00,2017-01-01,13:00,Golden Helipad,E292149,2.909265,2.9,PM25_SHARP5030i,2.711527,2.7,PM10_R&P_TEOM
2017-01-01 14:00:00,2017-01-01,14:00,Golden Helipad,E292149,1.444355,1.4,PM25_SHARP5030i,1.043194,1,PM10_R&P_TEOM
2017-01-01 15:00:00,2017-01-01,15:00,Golden Helipad,E292149,2.265177,2.3,PM25_SHARP5030i,6.62736,6.6,PM10_R&P_TEOM
2017-01-01 16:00:00,2017-01-01,16:00,Golden Helipad,E292149,12.434,12.4,PM25_SHARP5030i,13.79708,13.8,PM10_R&P_TEOM
2017-01-01 17:00:00,2017-01-01,17:00,Golden Helipad,E292149,19.56172,19.6,PM25_SHARP5030i,19.39722,19.4,PM10_R&P_TEOM
2017-01-01 18:00:00,2017-01-01,18:00,Golden Helipad,E292149,16.18147,16.2,PM25_SHARP5030i,16.37625,16.4,PM10_R&P_TEOM
2017-01-01 19:00:00,2017-01-01,19:00,Golden Helipad,E292149,11.45116,11.5,PM25_SHARP5030i,11.87194,11.9,PM10_R&P_TEOM
2017-01-01 20:00:00,2017-01-01,20:00,Golden Helipad,E292149,18.34662,18.3,PM25_SHARP5030i,15.8375,15.8,PM10_R&P_TEOM
2017-01-01 21:00:00,2017-01-01,21:00,Golden Helipad,E292149,6.766241,6.8,PM25_SHARP5030i,8.086526,8.1,PM10_R&P_TEOM
2017-01-01 22:00:00,2017-01-01,22:00,Golden Helipad,E292149,9.997166,10,PM25_SHARP5030i,12.78444,12.8,PM10_R&P_TEOM
2017-01-01 23:00:00,2017-01-01,23:00,Golden Helipad,E292149,24.47323,24.5,PM25_SHARP5030i,21.18778,21.2,PM10_R&P_TEOM
2017-01-02 00:00:00,2017-01-01,24:00,Golden Helipad,E292149,10.20018,10.2,PM25_SHARP5030i,10.05486,10.1,PM10_R&P_TEOM
2017-01-02 01:00:00,2017-01-02,01:00,Golden Helipad,E292149,13.59214,13.6,PM25_SHARP5030i,16.30264,16.3,PM10_R&P_TEOM
2017-01-02 02:00:00,2017-01-02,02:00,Golden Helipad,E292149,4.772441,4.8,PM25_SHARP5030i,10.02375,10,PM10_R&P_TEOM
2017-01-02 03:00:00,2017-01-02,03:00,Golden Helipad,E292149,4.082614,4.1,PM25_SHARP5030i,8.185,8.2,PM10_R&P_TEOM
2017-01-02 04:00:00,2017-01-02,04:00,Golden Helipad,E292149,3.311327,3.3,PM25_SHARP5030i,8.119722,8.1,PM10_R&P_TEOM
2017-01-02 05:00:00,2017-01-02,05:00,Golden Helipad,E292149,4.635653,4.6,PM25_SHARP5030i,7.82375,7.8,PM10_R&P_TEOM
2017-01-02 06:00:00,2017-01-02,06:00,Golden Helipad,E292149,6.222671,6.2,PM25_SHARP5030i,13.28778,13.3,PM10_R&P_TEOM
2017-01-02 07:00:00,2017-01-02,07:00,Golden Helipad,E292149,4.711041,4.7,PM25_SHARP5030i,10.80069,10.8,PM10_R&P_TEOM
2017-01-02 08:00:00,2017-01-02,08:00,Golden Helipad,E292149,7.182648,7.2,PM25_SHARP5030i,12.28014,12.3,PM10_R&P_TEOM
2017-01-02 09:00:00,2017-01-02,09:00,Golden Helipad,E292149,10.10116,10.1,PM25_SHARP5030i,16.36014,16.4,PM10_R&P_TEOM
2017-01-02 10:00:00,2017-01-02,10:00,Golden Helipad,E292149,4.631859,4.6,PM25_SHARP5030i,17.86069,17.9,PM10_R&P_TEOM
2017-01-02 11:00:00,2017-01-02,11:00,Golden Helipad,E292149,4.579906,4.6,PM25_SHARP5030i,13.68583,13.7,PM10_R&P_TEOM
2017-01-02 12:00:00,2017-01-02,12:00,Golden Helipad,E292149,3.346515,3.3,PM25_SHARP5030i,11.57625,11.6,PM10_R&P_TEOM
2017-01-02 13:00:00,2017-01-02,13:00,Golden Helipad,E292149,4.383672,4.4,PM25_SHARP5030i,6.291526,6.3,PM10_R&P_TEOM
2017-01-02 14:00:00,2017-01-02,14:00,Golden Helipad,E292149,4.623809,4.6,PM25_SHARP5030i,9.882498,9.9,PM10_R&P_TEOM
2017-01-02 15:00:00,2017-01-02,15:00,Golden Helipad,E292149,15.30684,15.3,PM25_SHARP5030i,23.02153,23,PM10_R&P_TEOM
2017-01-02 16:00:00,2017-01-02,16:00,Golden Helipad,E292149,7.461824,7.5,PM25_SHARP5030i,19.05305,19.1,PM10_R&P_TEOM
2017-01-02 17:00:00,2017-01-02,17:00,Golden Helipad,E292149,13.82102,13.8,PM25_SHARP5030i,21.65069,21.7,PM10_R&P_TEOM
2017-01-02 18:00:00,2017-01-02,18:00,Golden Helipad,E292149,26.46835,26.5,PM25_SHARP5030i,28.815,28.8,PM10_R&P_TEOM
2017-01-02 19:00:00,2017-01-02,19:00,Golden Helipad,E292149,30.29407,30.3,PM25_SHARP5030i,30.99306,31,PM10_R&P_TEOM
2017-01-02 20:00:00,2017-01-02,20:00,Golden Helipad,E292149,19.10928,19.1,PM25_SHARP5030i,30.54833,30.5,PM10_R&P_TEOM
2017-01-02 21:00:00,2017-01-02,21:00,Golden Helipad,E292149,24.04843,24,PM25_SHARP5030i,36.91722,36.9,PM10_R&P_TEOM
2017-01-02 22:00:00,2017-01-02,22:00,Golden Helipad,E292149,43.26036,43.3,PM25_SHARP5030i,49.90445,49.9,PM10_R&P_TEOM
2017-01-02 23:00:00,2017-01-02,23:00,Golden Helipad,E292149,43.35183,43.4,PM25_SHARP5030i,49.29611,49.3,PM10_R&P_TEOM
2017-01-03 00:00:00,2017-01-02,24:00,Golden Helipad,E292149,51.15681,51.2,PM25_SHARP5030i,59.72153,59.7,PM10_R&P_TEOM
2017-01-03 01:00:00,2017-01-03,01:00,Golden Helipad,E292149,36.19517,36.2,PM25_SHARP5030i,44.20028,44.2,PM10_R&P_TEOM
2017-01-03 02:00:00,2017-01-03,02:00,Golden Helipad,E292149,51.46024,51.5,PM25_SHARP5030i,52.67889,52.7,PM10_R&P_TEOM
2017-01-03 03:00:00,2017-01-03,03:00,Golden Helipad,E292149,37.68635,37.7,PM25_SHARP5030i,36.93167,36.9,PM10_R&P_TEOM
2017-01-03 04:00:00,2017-01-03,04:00,Golden Helipad,E292149,34.60025,34.6,PM25_SHARP5030i,40.02514,40,PM10_R&P_TEOM
2017-01-03 05:00:00,2017-01-03,05:00,Golden Helipad,E292149,34.00208,34,PM25_SHARP5030i,37.35333,37.4,PM10_R&P_TEOM
2017-01-03 06:00:00,2017-01-03,06:00,Golden Helipad,E292149,12.30324,12.3,PM25_SHARP5030i,19.81083,19.8,PM10_R&P_TEOM
2017-01-03 07:00:00,2017-01-03,07:00,Golden Helipad,E292149,10.12996,10.1,PM25_SHARP5030i,22.53347,22.5,PM10_R&P_TEOM
2017-01-03 08:00:00,2017-01-03,08:00,Golden Helipad,E292149,18.97761,19,PM25_SHARP5030i,32.01264,32,PM10_R&P_TEOM
2017-01-03 09:00:00,2017-01-03,09:00,Golden Helipad,E292149,20.11912,20.1,PM25_SHARP5030i,36.75875,36.8,PM10_R&P_TEOM
2017-01-03 10:00:00,2017-01-03,10:00,Golden Helipad,E292149,23.60815,23.6,PM25_SHARP5030i,47.13987,47.1,PM10_R&P_TEOM
2017-01-03 11:00:00,2017-01-03,11:00,Golden Helipad,E292149,21.01429,21,PM25_SHARP5030i,37.52403,37.5,PM10_R&P_TEOM
2017-01-03 12:00:00,2017-01-03,12:00,Golden Helipad,E292149,20.35089,20.4,PM25_SHARP5030i,42.18611,42.2,PM10_R&P_TEOM
2017-01-03 13:00:00,2017-01-03,13:00,Golden Helipad,E292149,5.356483,5.4,PM25_SHARP5030i,14.51944,14.5,PM10_R&P_TEOM
2017-01-03 14:00:00,2017-01-03,14:00,Golden Helipad,E292149,2.173922,2.2,PM25_SHARP5030i,6.871805,6.9,PM10_R&P_TEOM
2017-01-03 15:00:00,2017-01-03,15:00,Golden Helipad,E292149,2.154422,2.2,PM25_SHARP5030i,11.89791,11.9,PM10_R&P_TEOM
2017-01-03 16:00:00,2017-01-03,16:00,Golden Helipad,E292149,7.361104,7.4,PM25_SHARP5030i,24.2843,24.3,PM10_R&P_TEOM
2017-01-03 17:00:00,2017-01-03,17:00,Golden Helipad,E292149,10.27446,10.3,PM25_SHARP5030i,38.12708,38.1,PM10_R&P_TEOM
2017-01-03 18:00:00,2017-01-03,18:00,Golden Helipad,E292149,18.07597,18.1,PM25_SHARP5030i,31.22889,31.2,PM10_R&P_TEOM
2017-01-03 19:00:00,2017-01-03,19:00,Golden Helipad,E292149,12.00398,12,PM25_SHARP5030i,,,
2017-01-03 20:00:00,2017-01-03,20:00,Golden Helipad,E292149,12.80602,12.8,PM25_SHARP5030i,40.58666,40.6,PM10_R&P_TEOM
2017-01-03 21:00:00,2017-01-03,21:00,Golden Helipad,E292149,21.52697,21.5,PM25_SHARP5030i,45.61153,45.6,PM10_R&P_TEOM
2017-01-03 22:00:00,2017-01-03,22:00,Golden Helipad,E292149,28.16153,28.2,PM25_SHARP5030i,42.08666,42.1,PM10_R&P_TEOM
2017-01-03 23:00:00,2017-01-03,23:00,Golden Helipad,E292149,24.45497,24.5,PM25_SHARP5030i,33.98583,34,PM10_R&P_TEOM
2017-01-04 00:00:00,2017-01-03,24:00,Golden Helipad,E292149,47.79477,47.8,PM25_SHARP5030i,52.67153,52.7,PM10_R&P_TEOM
2017-01-04 01:00:00,2017-01-04,01:00,Golden Helipad,E292149,68.48389,68.5,PM25_SHARP5030i,68.35653,68.4,PM10_R&P_TEOM
2017-01-04 02:00:00,2017-01-04,02:00,Golden Helipad,E292149,25.10491,25.1,PM25_SHARP5030i,41.61625,41.6,PM10_R&P_TEOM
2017-01-04 03:00:00,2017-01-04,03:00,Golden Helipad,E292149,7.019968,7,PM25_SHARP5030i,21.10639,21.1,PM10_R&P_TEOM
2017-01-04 04:00:00,2017-01-04,04:00,Golden Helipad,E292149,5.931849,5.9,PM25_SHARP5030i,17.25875,17.3,PM10_R&P_TEOM
