DATE_PST,DATE,TIME,STATION_NAME,EMS_ID,PM25_RAW,PM25,PM25_INSTRUMENT,PM10_RAW,PM10,PM10_INSTRUMENT,PM10_2_RAW,PM10_2,PM10_2_INSTRUMENT
2020-01-01 01:00:00,2020-01-01,01:00,Golden Helipad,E292149,12.08778,12.1,PM25_SHARP5030i,,,,7.955832,8,PM10_R&P_TEOM
2020-01-01 02:00:00,2020-01-01,02:00,Golden Helipad,E292149,8.577033,8.6,PM25_SHARP5030i,,,,7.124444,7.1,PM10_R&P_TEOM
2020-01-01 03:00:00,2020-01-01,03:00,Golden Helipad,E292149,7.790307,7.8,PM25_SHARP5030i,,,,6.194304,6.2,PM10_R&P_TEOM
2020-01-01 04:00:00,2020-01-01,04:00,Golden Helipad,E292149,6.612091,6.6,PM25_SHARP5030i,,,,5.760832,5.8,PM10_R&P_TEOM
2020-01-01 05:00:00,2020-01-01,05:00,Golden Helipad,E292149,6.949398,6.9,PM25_SHARP5030i,,,,5.111526,5.1,PM10_R&P_TEOM
2020-01-01 06:00:00,2020-01-01,06:00,Golden Helipad,E292149,4.954823,5,PM25_SHARP5030i,,,,5.303194,5.3,PM10_R&P_TEOM
2020-01-01 07:00:00,2020-01-01,07:00,Golden Helipad,E292149,6.440575,6.4,PM25_SHARP5030i,,,,5.670555,5.7,PM10_R&P_TEOM
2020-01-01 08:00:00,2020-01-01,08:00,Golden Helipad,E292149,7.523228,7.5,PM25_SHARP5030i,,,,7.626248,7.6,PM10_R&P_TEOM
2020-01-01 09:00:00,2020-01-01,09:00,Golden Helipad,E292149,10.04972,10,PM25_SHARP5030i,,,,8.807359,8.8,PM10_R&P_TEOM
2020-01-01 10:00:00,2020-01-01,10:00,Golden Helipad,E292149,12.85095,12.9,PM25_SHARP5030i,,,,10.6643,10.7,PM10_R&P_TEOM
2020-01-01 11:00:00,2020-01-01,11:00,Golden Helipad,E292149,6.409832,6.4,PM25_SHARP5030i,,,,6.04986,6,PM10_R&P_TEOM
2020-01-01 12:00:00,2020-01-01,12:00,Golden Helipad,E292149,5.707499,5.7,PM25_SHARP5030i,,,,6.929583,6.9,PM10_R&P_TEOM
2020-01-01 13:00:00,2020-01-01,13:00,Golden Helipad,E292149,6.346683,6.3,PM25_SHARP5030i,,,,6.946665,6.9,PM10_R&P_TEOM
2020-01-01 14:00:00,2020-01-01,14:00,Golden Helipad,E292149,5.744066,5.7,PM25_SHARP5030i,,,,7.610833,7.6,PM10_R&P_TEOM
2020-01-01 15:00:00,2020-01-01,15:00,Golden Helipad,E292149,6.726007,6.7,PM25_SHARP5030i,,,,7.985137,8,PM10_R&P_TEOM
