time_stamp,humidity,temperature,pressure,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2020-02-03T20:00:00Z,21.541,69.409,856.197,26.4,25.7,27,35.0805,33.026,37.135,50.406,47.302,53.51
2020-02-03T21:00:00Z,19.333,71.733,856.448,1.2,1.2,1.3,1.4015,1.267,1.536,1.4015,1.267,1.536
2020-02-04T16:00:00Z,19.6,69.222,868.512,0.6,0.6,0.5,0.08499999999999999,0.078,0.092,0.08499999999999999,0.078,0.092
2020-02-04T17:00:00Z,15.666,74.666,868.67,0.9,0.9,0.8,0.6759999999999999,0.769,0.583,0.6759999999999999,0.769,0.583
2020-02-04T18:00:00Z,15.133,75.967,868.91,23.9,23.3,24.6,31.368000000000002,29.126,33.61,45.9905,42.639,49.342
2020-02-04T19:00:00Z,14.522,78.1,869.15,1.4,1.5,1.3,2.018,2.022,2.014,2.0244999999999997,2.031,2.018
2020-02-04T20:00:00Z,16.1,75.166,868.985,1.2,1.2,1.2,1.1735,1.209,1.138,1.1735,1.209,1.138
2020-02-13T04:00:00Z,26.383,60.117,928.605,17.9,16.3,19.6,27.701999999999998,25.351,30.053,32.748,28.983,36.513
2020-02-13T05:00:00Z,42.2,36.667,928.247,13.7,13,14.5,27.3645,24.644,30.085,29.0175,25.861,32.174
2020-02-13T06:00:00Z,50.233,31.966,927.553,15.9,15.3,16.5,33.394999999999996,30.738,36.052,35.364000000000004,31.954,38.774
2020-02-13T07:00:00Z,50.3,30.3,927.111,12.2,11.6,12.7,27.494,24.834,30.154,27.708,24.89,30.526
2020-02-13T08:00:00Z,51.734,29.934,927.142,31.3,29.9,32.8,53.1515,48.485,57.818,72.95949999999999,64.621,81.298
2020-02-13T09:00:00Z,54.3,29.733,926.981,21.1,20.3,21.9,38.435,35.802,41.068,48.5235,43.808,53.239
2020-02-13T10:00:00Z,55.367,29.834,926.37,10,10.9,9.1,22.283,22.638,21.928,22.4145,22.892,21.937
2020-02-13T11:00:00Z,55.5,30.2,925.834,11.8,12.1,11.4,26.1825,25.446,26.919,26.445999999999998,25.747,27.145
2020-02-13T12:00:00Z,56.633,30,925.004,11,11,10.9,24.233,22.352,26.114,24.252000000000002,22.361,26.143
