time_stamp,pm2.5_alt,station,pm2.5_atm,pm2.5_cf_1
2022-01-10 17:00:00+00:00,30.7,100155,65.426,83.4225
2022-01-10 18:00:00+00:00,22.5,100155,51.9845,58.1985
2022-03-23 22:00:00+00:00,1.6,100155,2.091,2.091
2022-03-24 00:00:00+00:00,2.5,100155,3.5635,3.5635
2022-03-24 01:00:00+00:00,7.2,100155,10.963,12.109
2022-03-24 02:00:00+00:00,13.2,100155,21.407,24.079500000000003
2022-03-24 03:00:00+00:00,13.4,100155,23.4285,24.8485
2022-03-24 04:00:00+00:00,17.7,100155,31.1785,34.181
2022-03-24 05:00:00+00:00,9.6,100155,17.5475,18.024
2022-03-24 06:00:00+00:00,1.5,100155,1.7905000000000002,1.791
2022-03-24 07:00:00+00:00,0.5,100155,0.2495,0.2495
2022-03-24 08:00:00+00:00,1.0,100155,0.9735,0.9735
2022-03-24 09:00:00+00:00,1.1,100155,1.443,1.443
2022-03-24 10:00:00+00:00,2.8,100155,4.542,4.5625
2022-03-24 11:00:00+00:00,0.5,100155,0.2704999999999999,0.2704999999999999
2022-03-24 12:00:00+00:00,1.4,100155,1.9555,1.9555
2022-03-24 13:00:00+00:00,3.4,100155,5.9005,6.222
2022-03-24 14:00:00+00:00,6.5,100155,12.7975,12.7975
2022-03-24 15:00:00+00:00,2.6,100155,4.047000000000001,4.047000000000001
2022-03-24 16:00:00+00:00,2.0,100155,2.667,2.667
2022-03-24 17:00:00+00:00,0.7,100155,0.5445,0.5605
2022-03-24 18:00:00+00:00,0.7,100155,0.5795,0.5795
2022-03-24 19:00:00+00:00,0.3,100155,0.051,0.051
2022-03-24 20:00:00+00:00,0.3,100155,0.0345,0.0345
2022-03-24 21:00:00+00:00,0.8,100155,0.599,0.599
2022-03-24 22:00:00+00:00,1.1,100155,1.1095000000000002,1.1095000000000002
2022-03-24 23:00:00+00:00,1.3,100155,1.481,1.481
2022-03-25 00:00:00+00:00,2.2,100155,3.0235,3.0235
2022-03-25 01:00:00+00:00,11.4,100155,18.121,21.0285
2022-03-25 02:00:00+00:00,16.9,100155,26.343,33.419000000000004
2022-03-25 03:00:00+00:00,25.8,100155,43.467,54.9825
